art_galleries,religious_institutions
6.40E-01,3.06E+00
9.90E-01,2.42E+00
8.80E-01,2.86E+00
1.47E+00,3.46E+00
8.60E-01,2.46E+00
1.07E+00,2.74E+00
9.90E-01,3.42E+00
1.76E+00,3.18E+00
8.00E-01,2.78E+00
9.00E-01,2.98E+00
9.00E-01,2.86E+00
9.00E-01,2.54E+00
3.50E-01,2.48E+00
8.30E-01,2.34E+00
1.15E+00,2.34E+00
6.40E-01,2.40E+00
6.10E-01,2.94E+00
5.40E-01,2.94E+00
1.06E+00,3.18E+00
8.60E-01,2.50E+00
7.70E-01,2.64E+00
9.30E-01,2.38E+00
1.98E+00,2.38E+00
7.40E-01,2.74E+00
6.40E-01,2.82E+00
5.10E-01,2.98E+00
1.06E+00,2.56E+00
1.09E+00,3.34E+00
5.40E-01,2.78E+00
9.00E-01,2.88E+00
8.30E-01,2.54E+00
9.30E-01,2.94E+00
3.80E-01,2.50E+00
5.10E-01,3.34E+00
8.00E-01,2.54E+00
1.15E+00,2.54E+00
5.10E-01,2.88E+00
9.60E-01,3.06E+00
1.09E+00,3.20E+00
7.40E-01,3.34E+00
8.00E-01,2.96E+00
8.60E-01,3.10E+00
6.10E-01,2.62E+00
9.00E-01,3.02E+00
9.60E-01,3.42E+00
1.09E+00,2.46E+00
8.00E-01,2.62E+00
8.60E-01,2.94E+00
7.70E-01,2.54E+00
1.18E+00,3.10E+00
7.40E-01,2.98E+00
6.40E-01,2.66E+00
6.40E-01,2.78E+00
1.09E+00,2.62E+00
1.02E+00,3.42E+00
9.00E-01,2.86E+00
2.05E+00,3.44E+00
1.18E+00,2.34E+00
1.06E+00,3.36E+00
5.80E-01,2.90E+00
1.15E+00,3.36E+00
9.00E-01,2.54E+00
7.00E-01,2.98E+00
8.00E-01,2.88E+00
9.00E-01,2.74E+00
7.00E-01,2.38E+00
6.10E-01,2.54E+00
6.70E-01,2.34E+00
7.00E-01,2.86E+00
9.30E-01,2.80E+00
1.90E+00,2.48E+00
7.40E-01,2.78E+00
1.06E+00,3.28E+00
9.60E-01,3.26E+00
4.20E-01,2.62E+00
1.02E+00,3.26E+00
9.90E-01,2.94E+00
7.00E-01,2.98E+00
7.70E-01,2.88E+00
5.80E-01,2.90E+00
8.00E-01,2.70E+00
1.28E+00,2.48E+00
1.38E+00,3.30E+00
1.06E+00,2.54E+00
9.60E-01,2.64E+00
5.80E-01,2.72E+00
1.41E+00,3.06E+00
1.02E+00,2.46E+00
9.30E-01,3.04E+00
5.10E-01,2.32E+00
8.30E-01,2.66E+00
1.70E+00,3.52E+00
9.00E-01,3.44E+00
3.40E-01,2.86E+00
8.00E-01,2.96E+00
7.00E-01,3.04E+00
1.28E+00,2.50E+00
6.40E-01,3.26E+00
1.25E+00,2.40E+00
1.06E+00,2.78E+00
1.12E+00,2.96E+00
7.00E-01,2.34E+00
1.06E+00,2.82E+00
8.30E-01,2.70E+00
9.90E-01,2.78E+00
9.90E-01,2.62E+00
8.00E-01,2.94E+00
7.70E-01,2.58E+00
1.06E+00,3.26E+00
5.40E-01,3.30E+00
9.30E-01,2.82E+00
8.30E-01,2.98E+00
5.10E-01,2.58E+00
6.10E-01,3.46E+00
7.00E-01,2.54E+00
6.10E-01,3.04E+00
9.00E-01,2.30E+00
1.02E+00,2.38E+00
9.00E-01,2.86E+00
7.70E-01,2.88E+00
1.25E+00,3.22E+00
1.15E+00,2.40E+00
9.30E-01,3.04E+00
6.10E-01,2.42E+00
1.02E+00,3.34E+00
9.00E-01,2.46E+00
6.70E-01,2.82E+00
5.40E-01,3.30E+00
6.10E-01,2.38E+00
6.10E-01,2.80E+00
5.80E-01,2.42E+00
8.30E-01,3.02E+00
4.80E-01,2.74E+00
6.10E-01,2.14E+00
3.40E-01,2.86E+00
1.41E+00,3.14E+00
5.80E-01,2.96E+00
9.60E-01,2.70E+00
2.08E+00,3.60E+00
7.00E-01,2.34E+00
1.25E+00,2.32E+00
7.40E-01,2.58E+00
7.40E-01,3.12E+00
8.30E-01,3.02E+00
6.40E-01,2.88E+00
1.33E+00,2.80E+00
1.50E+00,2.46E+00
9.60E-01,3.14E+00
3.40E-01,2.86E+00
5.10E-01,2.66E+00
6.70E-01,2.94E+00
5.10E-01,2.40E+00
5.80E-01,2.40E+00
6.10E-01,2.78E+00
1.09E+00,3.28E+00
9.00E-01,3.36E+00
9.30E-01,2.40E+00
2.22E+00,2.72E+00
6.10E-01,2.42E+00
7.70E-01,2.62E+00
9.60E-01,2.72E+00
1.58E+00,2.78E+00
6.10E-01,2.78E+00
1.06E+00,3.50E+00
1.22E+00,2.46E+00
1.12E+00,2.38E+00
1.09E+00,2.72E+00
4.50E-01,2.78E+00
7.70E-01,2.46E+00
8.00E-01,3.26E+00
5.80E-01,2.78E+00
7.00E-01,2.46E+00
7.70E-01,2.56E+00
1.15E+00,2.72E+00
9.30E-01,3.52E+00
8.30E-01,2.42E+00
8.30E-01,2.82E+00
1.12E+00,2.78E+00
9.90E-01,2.66E+00
1.15E+00,3.10E+00
5.10E-01,2.82E+00
5.80E-01,2.66E+00
7.40E-01,2.64E+00
9.00E-01,2.96E+00
5.10E-01,2.88E+00
9.30E-01,2.42E+00
7.70E-01,2.80E+00
1.18E+00,3.62E+00
9.60E-01,3.30E+00
1.09E+00,2.54E+00
1.09E+00,3.14E+00
6.70E-01,2.96E+00
7.70E-01,2.66E+00
5.80E-01,2.94E+00
6.70E-01,2.56E+00
7.00E-01,2.80E+00
7.70E-01,2.54E+00
1.79E+00,2.42E+00
8.00E-01,2.58E+00
6.10E-01,3.12E+00
4.20E-01,2.50E+00
7.40E-01,2.56E+00
6.10E-01,2.88E+00
1.02E+00,2.64E+00
8.30E-01,2.66E+00
1.02E+00,2.94E+00
7.00E-01,2.48E+00
1.55E+00,2.58E+00
5.10E-01,2.32E+00
5.10E-01,2.74E+00
5.40E-01,3.04E+00
3.80E-01,2.62E+00
7.70E-01,2.50E+00
5.80E-01,2.98E+00
1.09E+00,2.64E+00
9.60E-01,2.62E+00
6.70E-01,2.82E+00
7.40E-01,2.46E+00
9.30E-01,3.42E+00
1.02E+00,2.88E+00
1.09E+00,3.36E+00
3.22E+00,2.72E+00
4.80E-01,2.70E+00
4.50E-01,2.48E+00
9.60E-01,2.48E+00
5.40E-01,2.42E+00
8.60E-01,2.40E+00
1.41E+00,2.32E+00
8.00E-01,2.56E+00
7.40E-01,3.22E+00
6.70E-01,2.74E+00
1.47E+00,2.88E+00
7.00E-01,2.54E+00
7.40E-01,2.42E+00
7.40E-01,2.72E+00
4.80E-01,2.80E+00
3.80E-01,3.44E+00
7.70E-01,2.58E+00
1.57E+00,2.86E+00
7.70E-01,2.46E+00
6.40E-01,2.38E+00
9.90E-01,3.12E+00
1.25E+00,2.42E+00
7.00E-01,3.06E+00
5.80E-01,3.02E+00
9.30E-01,2.66E+00
5.40E-01,2.70E+00
6.70E-01,2.32E+00
8.00E-01,2.40E+00
1.57E+00,2.98E+00
9.90E-01,2.78E+00
1.18E+00,2.56E+00
5.80E-01,3.26E+00
8.30E-01,3.36E+00
8.60E-01,3.06E+00
5.40E-01,2.56E+00
1.09E+00,3.12E+00
6.70E-01,2.70E+00
1.76E+00,3.14E+00
5.80E-01,2.70E+00
1.09E+00,2.54E+00
9.90E-01,2.46E+00
8.30E-01,3.28E+00
4.60E-01,2.88E+00
1.12E+00,2.50E+00
1.31E+00,2.46E+00
7.40E-01,2.72E+00
9.30E-01,2.70E+00
5.80E-01,2.48E+00
1.02E+00,3.26E+00
3.50E-01,2.94E+00
1.47E+00,2.66E+00
1.79E+00,2.50E+00
7.40E-01,2.88E+00
9.00E-01,2.40E+00
1.41E+00,2.54E+00
7.00E-01,3.26E+00
7.70E-01,2.64E+00
4.80E-01,2.78E+00
6.70E-01,3.20E+00
6.40E-01,3.22E+00
8.60E-01,2.70E+00
8.30E-01,2.80E+00
6.40E-01,3.20E+00
8.00E-01,2.42E+00
8.00E-01,2.46E+00
1.06E+00,2.50E+00
8.00E-01,2.98E+00
6.40E-01,2.98E+00
8.00E-01,2.66E+00
8.30E-01,3.22E+00
9.60E-01,2.58E+00
8.60E-01,2.90E+00
1.76E+00,3.34E+00
7.40E-01,2.46E+00
1.15E+00,3.30E+00
1.57E+00,2.66E+00
7.40E-01,2.98E+00
7.70E-01,2.64E+00
9.00E-01,2.86E+00
7.70E-01,2.54E+00
8.00E-01,2.94E+00
4.50E-01,3.04E+00
9.60E-01,2.72E+00
1.06E+00,2.56E+00
6.40E-01,2.80E+00
8.00E-01,2.40E+00
1.18E+00,2.48E+00
6.40E-01,2.34E+00
7.00E-01,2.88E+00
9.60E-01,2.54E+00
7.40E-01,2.34E+00
1.44E+00,2.50E+00
9.00E-01,2.62E+00
5.80E-01,2.40E+00
7.70E-01,2.98E+00
8.60E-01,3.50E+00
6.40E-01,3.20E+00
1.39E+00,2.42E+00
8.00E-01,2.40E+00
1.12E+00,2.74E+00
5.10E-01,2.46E+00
6.40E-01,3.04E+00
6.40E-01,3.04E+00
1.97E+00,2.58E+00
1.02E+00,2.38E+00
7.00E-01,3.18E+00
9.00E-01,3.12E+00
1.02E+00,3.42E+00
4.20E-01,3.12E+00
9.90E-01,2.74E+00
7.40E-01,2.42E+00
1.31E+00,2.32E+00
8.30E-01,2.40E+00
1.12E+00,2.94E+00
5.40E-01,3.44E+00
1.06E+00,2.50E+00
4.80E-01,2.66E+00
8.00E-01,2.54E+00
9.30E-01,2.98E+00
7.70E-01,3.34E+00
7.70E-01,2.82E+00
1.06E+00,3.54E+00
7.20E-01,2.72E+00
1.25E+00,3.06E+00
7.00E-01,2.46E+00
7.40E-01,3.02E+00
6.10E-01,2.64E+00
8.60E-01,2.50E+00
4.20E-01,3.02E+00
5.40E-01,2.54E+00
1.09E+00,2.66E+00
6.70E-01,2.56E+00
1.22E+00,2.98E+00
9.60E-01,3.04E+00
9.60E-01,2.40E+00
9.00E-01,2.50E+00
9.00E-01,2.40E+00
7.00E-01,2.80E+00
6.70E-01,2.82E+00
9.90E-01,3.06E+00
8.30E-01,2.80E+00
9.90E-01,3.04E+00
1.78E+00,2.42E+00
7.40E-01,2.62E+00
1.55E+00,3.30E+00
7.00E-01,2.74E+00
1.31E+00,3.44E+00
1.09E+00,3.22E+00
7.40E-01,2.58E+00
7.40E-01,3.14E+00
5.80E-01,3.22E+00
7.20E-01,2.74E+00
9.60E-01,3.12E+00
1.38E+00,2.48E+00
6.40E-01,3.18E+00
8.00E-01,3.06E+00
8.30E-01,2.62E+00
7.70E-01,2.94E+00
6.40E-01,2.64E+00
4.20E-01,2.56E+00
1.38E+00,3.04E+00
5.80E-01,2.70E+00
8.30E-01,2.54E+00
7.00E-01,2.80E+00
9.60E-01,2.70E+00
7.00E-01,2.96E+00
1.18E+00,3.38E+00
9.90E-01,2.62E+00
1.38E+00,3.30E+00
1.18E+00,3.38E+00
7.00E-01,2.96E+00
1.09E+00,2.34E+00
9.30E-01,2.74E+00
7.70E-01,3.50E+00
5.10E-01,3.04E+00
6.10E-01,2.46E+00
7.70E-01,2.94E+00
9.00E-01,2.86E+00
9.60E-01,2.38E+00
2.72E+00,2.86E+00
9.00E-01,3.46E+00
6.40E-01,2.98E+00
9.90E-01,2.78E+00
2.50E+00,3.12E+00
8.60E-01,2.62E+00
7.00E-01,2.50E+00
8.60E-01,2.70E+00
1.12E+00,3.18E+00
1.22E+00,2.54E+00
9.60E-01,3.62E+00
6.70E-01,2.88E+00
7.70E-01,2.40E+00
8.60E-01,3.06E+00
9.00E-01,2.54E+00
1.31E+00,2.88E+00
6.40E-01,2.88E+00
9.60E-01,2.80E+00
7.70E-01,2.66E+00
5.10E-01,2.70E+00
8.60E-01,2.62E+00
5.10E-01,2.32E+00
7.40E-01,3.04E+00
7.00E-01,2.38E+00
8.60E-01,2.78E+00
7.00E-01,2.66E+00
7.70E-01,2.66E+00
1.34E+00,2.94E+00
5.30E-01,2.42E+00
8.60E-01,2.34E+00
1.12E+00,2.46E+00
8.30E-01,2.66E+00
8.00E-01,3.02E+00
9.00E-01,2.82E+00
5.80E-01,2.90E+00
7.40E-01,2.48E+00
6.40E-01,2.50E+00
6.10E-01,2.98E+00
9.60E-01,2.64E+00
8.00E-01,2.82E+00
1.44E+00,2.88E+00
8.30E-01,2.80E+00
7.00E-01,3.34E+00
9.90E-01,2.40E+00
8.60E-01,2.98E+00
6.10E-01,3.04E+00
9.60E-01,2.66E+00
9.60E-01,2.62E+00
9.60E-01,3.34E+00
1.23E+00,2.98E+00
1.06E+00,2.54E+00
9.00E-01,2.62E+00
1.63E+00,2.42E+00
6.70E-01,2.70E+00
7.00E-01,2.40E+00
5.80E-01,2.88E+00
9.60E-01,2.78E+00
9.60E-01,3.34E+00
1.06E+00,2.94E+00
7.40E-01,2.58E+00
9.30E-01,2.38E+00
9.00E-01,2.70E+00
7.00E-01,2.94E+00
7.70E-01,2.48E+00
9.90E-01,2.94E+00
7.40E-01,2.34E+00
7.00E-01,2.42E+00
1.15E+00,2.42E+00
5.80E-01,3.26E+00
9.00E-01,2.42E+00
7.40E-01,3.38E+00
7.70E-01,2.40E+00
6.70E-01,3.42E+00
9.60E-01,2.78E+00
7.40E-01,2.64E+00
7.70E-01,2.64E+00
6.40E-01,2.88E+00
6.70E-01,2.90E+00
8.60E-01,2.56E+00
8.30E-01,2.82E+00
6.40E-01,2.70E+00
9.00E-01,2.74E+00
6.70E-01,2.88E+00
1.06E+00,3.26E+00
1.47E+00,3.20E+00
4.80E-01,2.78E+00
9.60E-01,2.90E+00
5.80E-01,2.50E+00
9.30E-01,2.78E+00
9.60E-01,2.72E+00
8.30E-01,3.04E+00
7.00E-01,2.66E+00
8.30E-01,2.74E+00
1.12E+00,2.70E+00
1.76E+00,2.72E+00
9.60E-01,3.36E+00
7.70E-01,2.54E+00
8.60E-01,2.66E+00
1.12E+00,2.72E+00
6.40E-01,3.06E+00
1.15E+00,2.62E+00
6.70E-01,2.46E+00
7.70E-01,3.26E+00
1.22E+00,2.50E+00
6.40E-01,2.26E+00
1.09E+00,3.26E+00
1.31E+00,2.78E+00
1.06E+00,2.94E+00
7.00E-01,2.82E+00
6.60E-01,2.88E+00
7.40E-01,2.50E+00
8.30E-01,2.80E+00
6.70E-01,3.30E+00
1.87E+00,2.58E+00
5.40E-01,3.44E+00
7.00E-01,2.78E+00
1.82E+00,3.42E+00
1.25E+00,2.88E+00
9.60E-01,3.12E+00
7.40E-01,2.88E+00
8.00E-01,2.42E+00
9.90E-01,2.78E+00
7.40E-01,3.02E+00
9.00E-01,2.96E+00
1.66E+00,2.48E+00
8.00E-01,2.54E+00
7.50E-01,2.50E+00
7.00E-01,2.98E+00
5.80E-01,2.54E+00
7.00E-01,3.10E+00
2.05E+00,3.44E+00
5.10E-01,2.98E+00
6.10E-01,2.42E+00
8.30E-01,2.70E+00
8.00E-01,2.90E+00
8.60E-01,2.54E+00
1.38E+00,2.64E+00
1.06E+00,3.38E+00
5.10E-01,2.82E+00
1.73E+00,2.78E+00
5.40E-01,2.80E+00
1.09E+00,2.58E+00
7.40E-01,2.96E+00
9.30E-01,2.48E+00
6.10E-01,2.80E+00
9.40E-01,2.66E+00
6.40E-01,3.38E+00
3.80E-01,3.04E+00
1.09E+00,2.40E+00
5.80E-01,2.78E+00
8.00E-01,3.28E+00
6.10E-01,2.80E+00
7.00E-01,3.04E+00
4.80E-01,2.40E+00
7.40E-01,2.40E+00
7.00E-01,3.06E+00
1.34E+00,2.66E+00
7.20E-01,3.42E+00
8.00E-01,3.18E+00
9.90E-01,2.54E+00
1.09E+00,2.66E+00
7.00E-01,2.38E+00
9.30E-01,3.18E+00
1.06E+00,3.38E+00
1.50E+00,3.20E+00
1.95E+00,2.46E+00
1.25E+00,2.90E+00
5.40E-01,3.28E+00
5.10E-01,3.30E+00
1.63E+00,3.46E+00
7.70E-01,2.50E+00
1.76E+00,2.54E+00
8.60E-01,2.40E+00
8.30E-01,2.34E+00
5.80E-01,2.78E+00
7.70E-01,3.34E+00
2.26E+00,2.42E+00
1.66E+00,3.46E+00
8.00E-01,3.26E+00
1.02E+00,2.86E+00
9.60E-01,3.02E+00
8.30E-01,2.50E+00
9.60E-01,2.72E+00
8.60E-01,2.50E+00
9.00E-01,2.40E+00
7.70E-01,2.82E+00
1.02E+00,2.86E+00
9.00E-01,3.04E+00
7.00E-01,2.88E+00
8.30E-01,2.72E+00
7.70E-01,3.30E+00
9.30E-01,3.06E+00
7.70E-01,2.94E+00
9.60E-01,2.42E+00
7.00E-01,2.78E+00
1.66E+00,3.26E+00
1.34E+00,2.50E+00
8.30E-01,3.24E+00
7.40E-01,3.20E+00
4.50E-01,2.50E+00
7.00E-01,2.72E+00
1.09E+00,2.46E+00
6.70E-01,3.36E+00
1.54E+00,3.38E+00
6.40E-01,2.94E+00
8.00E-01,2.70E+00
8.30E-01,2.58E+00
1.31E+00,2.46E+00
7.00E-01,3.14E+00
1.34E+00,2.48E+00
5.40E-01,2.56E+00
1.28E+00,3.38E+00
1.02E+00,2.80E+00
9.60E-01,3.30E+00
1.06E+00,3.30E+00
5.40E-01,2.94E+00
7.00E-01,2.50E+00
1.31E+00,2.58E+00
1.02E+00,2.42E+00
4.50E-01,2.56E+00
9.90E-01,3.52E+00
1.09E+00,2.62E+00
1.22E+00,2.46E+00
7.40E-01,3.14E+00
8.00E-01,2.46E+00
5.80E-01,2.80E+00
9.90E-01,2.96E+00
8.60E-01,2.46E+00
1.63E+00,2.54E+00
1.09E+00,3.18E+00
6.10E-01,3.12E+00
1.06E+00,2.50E+00
6.10E-01,2.86E+00
6.10E-01,3.28E+00
7.00E-01,2.64E+00
9.30E-01,2.82E+00
8.00E-01,2.54E+00
6.40E-01,2.78E+00
1.18E+00,3.30E+00
9.00E-01,2.50E+00
8.60E-01,2.40E+00
7.40E-01,2.74E+00
1.09E+00,2.88E+00
8.30E-01,2.46E+00
8.20E-01,2.50E+00
9.00E-01,3.18E+00
9.60E-01,2.38E+00
6.70E-01,3.14E+00
9.90E-01,2.78E+00
7.40E-01,2.40E+00
1.02E+00,3.14E+00
1.22E+00,2.46E+00
1.12E+00,3.06E+00
1.28E+00,2.50E+00
1.28E+00,3.34E+00
1.33E+00,2.66E+00
7.00E-01,2.80E+00
7.40E-01,2.80E+00
1.70E+00,2.42E+00
7.70E-01,2.54E+00
9.90E-01,2.34E+00
1.09E+00,3.30E+00
1.02E+00,2.98E+00
7.40E-01,2.48E+00
1.02E+00,3.22E+00
7.00E-01,2.66E+00
1.02E+00,2.50E+00
1.02E+00,2.46E+00
1.34E+00,2.86E+00
7.40E-01,3.04E+00
6.40E-01,2.90E+00
8.00E-01,2.80E+00
9.90E-01,2.70E+00
4.20E-01,3.12E+00
1.41E+00,2.46E+00
6.70E-01,3.06E+00
7.40E-01,2.48E+00
1.25E+00,2.70E+00
7.40E-01,3.38E+00
8.60E-01,2.56E+00
8.00E-01,2.78E+00
7.40E-01,2.94E+00
1.01E+00,3.18E+00
9.00E-01,3.10E+00
8.00E-01,2.56E+00
7.70E-01,2.54E+00
5.10E-01,2.98E+00
9.00E-01,3.34E+00
7.40E-01,2.54E+00
8.60E-01,3.20E+00
8.30E-01,2.42E+00
1.02E+00,2.50E+00
1.82E+00,2.72E+00
8.00E-01,2.80E+00
2.14E+00,2.48E+00
5.10E-01,2.62E+00
8.30E-01,3.20E+00
9.00E-01,2.64E+00
6.70E-01,2.34E+00
1.22E+00,3.52E+00
1.09E+00,3.10E+00
1.17E+00,2.64E+00
1.31E+00,2.66E+00
6.40E-01,2.62E+00
8.00E-01,2.46E+00
6.70E-01,2.70E+00
8.00E-01,2.50E+00
9.60E-01,2.38E+00
1.15E+00,2.50E+00
8.30E-01,2.78E+00
9.90E-01,3.18E+00
9.60E-01,3.12E+00
1.25E+00,2.98E+00
5.80E-01,2.42E+00
9.30E-01,3.02E+00
9.00E-01,2.38E+00
5.80E-01,2.32E+00
7.00E-01,2.34E+00
5.10E-01,2.32E+00
5.80E-01,2.62E+00
8.30E-01,3.06E+00
6.40E-01,3.18E+00
1.47E+00,2.62E+00
7.00E-01,2.30E+00
6.70E-01,2.50E+00
4.80E-01,2.66E+00
1.18E+00,3.22E+00
4.80E-01,2.40E+00
9.30E-01,2.42E+00
7.40E-01,2.74E+00
6.70E-01,2.90E+00
8.60E-01,3.30E+00
1.01E+00,2.88E+00
7.00E-01,2.40E+00
1.02E+00,2.66E+00
1.09E+00,2.78E+00
1.02E+00,2.46E+00
6.70E-01,2.96E+00
6.40E-01,2.72E+00
7.00E-01,3.02E+00
8.30E-01,3.22E+00
1.06E+00,2.80E+00
6.40E-01,3.02E+00
6.40E-01,2.94E+00
9.60E-01,2.48E+00
8.30E-01,3.18E+00
9.00E-01,3.20E+00
7.70E-01,3.44E+00
6.10E-01,3.34E+00
5.80E-01,2.54E+00
9.60E-01,2.66E+00
9.90E-01,2.66E+00
1.18E+00,2.66E+00
1.09E+00,2.86E+00
1.54E+00,3.26E+00
1.18E+00,2.66E+00
5.80E-01,2.74E+00
5.80E-01,2.74E+00
1.09E+00,2.42E+00
1.09E+00,2.74E+00
6.40E-01,2.88E+00
7.00E-01,2.58E+00
7.70E-01,3.18E+00
1.09E+00,3.28E+00
5.10E-01,3.04E+00
7.70E-01,2.82E+00
9.30E-01,2.66E+00
4.50E-01,2.90E+00
1.89E+00,2.58E+00
1.02E+00,2.66E+00
8.30E-01,3.34E+00
1.41E+00,3.02E+00
4.80E-01,2.72E+00
8.00E-01,2.88E+00
4.80E-01,2.40E+00
9.00E-01,2.94E+00
1.34E+00,3.42E+00
9.90E-01,3.26E+00
8.60E-01,3.04E+00
6.70E-01,2.66E+00
3.80E-01,3.20E+00
9.60E-01,2.64E+00
5.80E-01,2.40E+00
1.18E+00,2.62E+00
9.00E-01,2.56E+00
7.00E-01,3.02E+00
5.80E-01,3.12E+00
1.50E+00,2.46E+00
8.30E-01,2.82E+00
7.00E-01,2.74E+00
1.02E+00,2.56E+00
7.70E-01,2.32E+00
4.80E-01,2.46E+00
5.10E-01,2.74E+00
8.00E-01,3.04E+00
1.09E+00,2.46E+00
1.02E+00,3.34E+00
8.00E-01,3.20E+00
5.40E-01,2.88E+00
1.12E+00,3.44E+00
6.70E-01,2.38E+00
1.22E+00,2.46E+00
6.70E-01,2.46E+00
7.00E-01,3.34E+00
1.79E+00,2.50E+00
7.00E-01,3.14E+00
7.70E-01,2.32E+00
5.10E-01,2.82E+00
7.40E-01,2.94E+00
8.30E-01,2.78E+00
9.00E-01,2.82E+00
1.15E+00,3.42E+00
7.00E-01,2.66E+00
4.20E-01,2.96E+00
7.00E-01,3.42E+00
7.70E-01,2.38E+00
7.70E-01,2.78E+00
9.30E-01,3.36E+00
6.10E-01,2.80E+00
1.25E+00,2.72E+00
1.18E+00,3.12E+00
1.06E+00,2.74E+00
9.00E-01,2.94E+00
7.40E-01,2.34E+00
8.30E-01,2.42E+00
7.70E-01,2.34E+00
9.90E-01,2.70E+00
6.40E-01,2.40E+00
8.30E-01,2.90E+00
1.12E+00,3.18E+00
8.30E-01,2.50E+00
9.00E-01,3.28E+00
6.70E-01,2.72E+00
6.10E-01,3.02E+00
6.40E-01,2.80E+00
8.30E-01,2.78E+00
9.00E-01,2.50E+00
8.00E-01,2.42E+00
7.40E-01,2.46E+00
1.22E+00,2.46E+00
3.50E-01,2.82E+00
7.00E-01,2.46E+00
6.40E-01,3.04E+00
6.70E-01,3.04E+00
5.80E-01,2.72E+00
1.15E+00,3.38E+00
5.40E-01,2.54E+00
9.30E-01,2.78E+00
8.30E-01,2.40E+00
6.40E-01,2.94E+00
1.06E+00,2.46E+00
9.30E-01,2.54E+00
1.87E+00,2.50E+00
1.25E+00,2.48E+00
6.10E-01,2.34E+00
8.60E-01,2.54E+00
1.34E+00,3.42E+00
6.10E-01,2.88E+00
1.41E+00,2.66E+00
5.80E-01,2.38E+00
8.50E-01,2.88E+00
6.10E-01,3.20E+00
9.60E-01,2.40E+00
1.25E+00,2.80E+00
6.40E-01,3.28E+00
9.10E-01,2.38E+00
7.40E-01,2.58E+00
5.10E-01,3.05E+00
8.00E-01,2.54E+00
5.80E-01,2.62E+00
1.28E+00,2.54E+00
1.22E+00,2.54E+00
3.80E-01,2.58E+00
1.02E+00,2.48E+00
7.40E-01,3.20E+00
1.25E+00,2.80E+00
6.10E-01,3.02E+00
9.30E-01,2.46E+00
9.30E-01,2.40E+00
